task1, task2, shortMax, shortMean, shortSD, longMax, longMean, longSD, qComputed, infFactor, inflatedQ, medMax, medMean, medSD, costRatio, score
adpcm_dec,adpcm_dec,193719,164313.477,4741.878196485154,208404,164556.8194318057,5085.815477988245,0.9988720728746087,1,0.9988720728746087,194835,164437.168,4996.211553139988,1.0,0.0967166329867776,
adpcm_dec,adpcm_enc,193555,164580.362,4866.4924534777365,207762,164513.8312816872,4888.958443279493,0.9990762659418183,1,0.9990762659418183,194220,164469.6564,4770.926774459438,1.0074515563772053,0.09394972184258729,
adpcm_dec,ammunition,47929629,47861664.215,24612.581241758395,69020218,47858801.23868761,71887.91592458122,0.9990514986618904,1,0.9990514986618904,47939415,47859436.0424,24658.749121687026,265.4188108278498,4.429798539850157,
adpcm_dec,cjpeg_transupp,906734,875650.763,8672.633078791605,1145296,875634.054499455,8661.297912359889,0.9988162174317086,1,0.9988162174317086,907387,875613.1492,8632.131817275713,4.991821134458748,0.11581566311855133,
adpcm_dec,cjpeg_wrbmp,178866,152006.91,3720.0560373226667,187345,151881.64550354498,3489.5237731947045,0.9989050878675363,1,0.9989050878675363,179780,151894.4896,3566.326006966697,3.2790010889828163,0.039258753391535464,
adpcm_dec,dijkstra,16775263,16732649.647,7567.364526985288,23509089,16732516.517234828,24684.621730313094,0.9989209607807963,1,0.9989209607807963,16775813,16732466.222,7556.5248576237445,94.17182372377613,0.2584026163363411,
adpcm_dec,epic,769400,735517.209,8459.031666571243,1089604,735555.8424815752,8485.868872989242,0.9989967543077672,1,0.9989967543077672,769400,735589.8212,8497.227081752146,4.057443443116638,0.27347131768109745,
adpcm_dec,fmref,199958,167695.646,14622.601816454095,203186,160640.44536554636,3404.782800878427,0.9971933794464947,1,0.9971933794464947,199958,163401.658,10124.89247682675,1.0520227634771155,0.0735309845597879,
adpcm_dec,gsm_dec,562267,532586.353,6079.737327414841,689590,532597.2410875892,6067.219245987917,0.9990251454542454,1,0.9990251454542454,566576,532678.8572,5884.838198035269,2.814531699436542,0.3746967402745802,
adpcm_dec,gsm_enc,1445445,1412266.042,9890.398897546478,2065924,1412121.508104919,10140.08419630709,0.9990095591008817,1,0.9990095591008817,1446916,1412292.1096,9865.247265093178,7.758973954844556,0.3856450496192015,
adpcm_dec,huff_enc,319233,289673.535,3810.902454050653,323616,288999.13410865894,2046.179144167169,0.9961253731368304,1,0.9961253731368304,319233,289442.8272,3310.003373755663,1.5433401068374866,0.2536067502378232,
adpcm_dec,mpeg2,136912304,136784011.63,42660.42214266627,179184443,136784551.93489066,141018.99433874767,0.9988858724962109,1,0.9988858724962109,136912304,136785552.5208,42822.533948984055,770.8491328601262,-0.17650701085824613,
adpcm_dec,ndes,181483,150733.944,3918.185729170106,194292,150754.9990200098,3546.9116683164016,0.999045815442796,1,0.999045815442796,194292,150725.5976,3716.797771354193,4.3257201295380945,0.4051474348048406,
adpcm_dec,petrinet,179767,148856.168,3693.5100829033227,187435,148702.25213747862,3147.12594095725,0.998984640510864,1,0.998984640510864,179767,148740.8256,3437.9599381317867,138.6830601092896,1.650273224043716,
adpcm_dec,rijndael_dec,978123,930900.85,10351.157936101552,1497482,932326.0420295798,12123.231670580393,0.9985109325581727,1,0.9985109325581727,985678,931310,10959.134004585043,5.264611349090643,0.28372163712405646,
adpcm_dec,rijndael_enc,925418,893750.375,8979.685099091941,1419127,893762.949600504,9115.255196901504,0.9989291134452015,1,0.9989291134452015,926559,893731.2948,8896.058214726165,5.048735456198319,0.16681958649727277,
adpcm_dec,statemate,174584,149528.286,3666.8795797048006,195866,149470.76023239768,3466.276107652263,0.9989496435375744,1,0.9989496435375744,178362,149458.0628,3586.353176040737,5.527817536872239,0.022061111456842367,
adpcm_dec,susan,11113552,11030206.131,20295.614969910268,16427220,11028061.331426686,25948.81042630134,0.9910535466013306,1.25,0.9930736561638241,11121058,11031072.9332,21329.210129722123,61.96539321035952,0.6344953364142457,
adpcm_enc,adpcm_enc,193916,164502.799,5194.227073539478,202906,164555.47430525694,5240.155869264031,0.9989746530348557,1,0.9989746530348557,193916,164422.426,5069.310627118612,1.0,0.09967732605946501,
adpcm_enc,ammunition,47930497,47867906.074,24414.895676480322,68910493,47866599.83638164,71432.31494725205,0.9990649449572615,1,0.9990649449572615,47935044,47866229.5728,24730.521045501104,267.3965940603043,4.438019950209539,
adpcm_enc,cjpeg_transupp,914419,881983.403,8815.586583966515,1141077,881913.6709432906,8589.755807773618,0.9988603297773246,1,0.9988603297773246,915980,882053.0628,8778.287905957523,5.029017971067092,0.16540867306721713,
adpcm_enc,cjpeg_wrbmp,177262,153509.348,2690.5927462591253,197273,153698.975700243,3311.5633492580987,0.9989168586410316,1,0.9989168586410316,180058,153669.8228,3210.1461385258517,3.2547481496520794,0.0686428320936156,
adpcm_enc,dijkstra,16764092,16732941.217,7156.782100353687,23740158,16732961.226717733,23587.978804785682,0.9989157715921755,1,0.9989157715921755,16769702,16732597.4212,7162.357775659715,94.87355037739808,0.22567327704024634,
adpcm_enc,epic,773917,736035.098,8534.912358739683,1794893,736248.3753262467,9362.668339913509,0.9989563027976552,1,0.9989563027976552,773917,736270.9076,8652.268444631005,4.087677711680343,0.3011245385308979,
adpcm_enc,fmref,220161,168758.395,14421.691706823498,220161,162097.40859591405,3463.767138603245,0.9972701672969129,1,0.9972701672969129,220161,164675.01,9996.082675360436,1.0598619704092684,0.18864800186005365,
adpcm_enc,gsm_dec,566256,532898.524,6565.324289664027,712587,532793.7397726022,6309.098259996513,0.9988864392524952,1,0.9988864392524952,566455,532883.5036,6246.007547073433,2.8355043410703247,0.3768026358321188,
adpcm_enc,gsm_enc,1448597,1412066.303,10206.558128773237,2091225,1411725.5525144748,10128.353262585419,0.9989343267747512,1,0.9989343267747512,1449715,1411925.196,10120.437854486861,7.816790386698348,0.4043915412926239,
