task1, task2, shortMax, shortMean, shortSD, longMax, longMean, longSD, qComputed, infFactor, inflatedQ
adpcm_dec,none,task1, task2, shortMax, shortMean, shortSD, longMax, longMean, longSD, qComputed, infFactor, inflatedQ
adpcm_dec,none,177653,150088.058,4258.156170528344,189562,150258.72816,4039.801693610746,0.9989065418181818,1,0.9989065418181818,
adpcm_enc,none,176339,153145.304,3917.7147073405067,193798,153179.22866,3971.138329390065,0.9990991103030303,1,0.9990991103030303,
ammunition,none,task1, task2, shortMax, shortMean, shortSD, longMax, longMean, longSD, qComputed, infFactor, inflatedQ
adpcm_dec,none,177653,150088.058,4258.156170528344,189562,150258.72816,4039.801693610746,0.9989065418181818,1,0.9989065418181818,
adpcm_enc,none,176339,153145.304,3917.7147073405067,193798,153179.22866,3971.138329390065,0.9990991103030303,1,0.9990991103030303,
ammunition,none,47152448,47088135.847,15788.502236135366,47164808,47088284.28386,16119.681696942518,0.9989505341414141,1,0.9989505341414141,
cjpeg_transupp,none,886812,857514.772,8959.00066329392,900960,857370.24348,8899.18464762876,0.9988538981818181,1,0.9988538981818181,
cjpeg_wrbmp,none,54179,29924.078,1781.0856975951995,63489,30006.61897,1707.5610869936095,0.9989960574747475,1,0.9989960574747475,
dijkstra,none,16729907,16703166.783,10675.644172058162,16751815,16703068.10005,12024.186435159523,0.99903761,1,0.99903761,
epic,none,720817,699388.163,8117.250458710784,739619,699174.19939,8442.977128482675,0.9988315312121212,1,0.9988315312121212,
fmref,none,186895,122063.871,19844.153807373335,186895,112030.2853,3799.8190682443583,0.9971991526262626,1,0.9971991526262626,
gsm_dec,none,500010,469272.824,6920.734202302739,508713,469169.70206,6926.134768937154,0.9989142545454546,1,0.9989142545454546,
gsm_enc,none,1378405,1339448.086,10426.192514285785,1379769,1338320.97892,9736.971157209453,0.9989420224242425,1,0.9989420224242425,
huff_enc,none,274179,246998.361,5253.95674460241,288469,247056.81038,5250.657182470851,0.9989811174747475,1,0.9989811174747475,
mpeg2,none,136943661,136823766.963,36150.7576490484,155746062,136822655.42066,70617.7816800358,0.9990606163636364,1,0.9990606163636364,
ndes,none,41069,18487.032,1586.6280760240024,45707,18419.30758,1452.199859027279,0.998992557979798,1,0.998992557979798,
petrinet,none,1281,544.472,152.4124626622599,29987,544.31871,285.0050276970461,0.9990365845454545,1,0.9990365845454545,
rijndael_dec,none,935274,907237.397,9025.097415693293,949786,907156.29861,8602.088253233935,0.9989228962626263,1,0.9989228962626263,
rijndael_enc,none,896923,864949.757,9114.697559851264,904569,864892.55307,9006.223526198182,0.9990398741414142,1,0.9990398741414142,
statemate,none,32138,7625.81,1026.741750647417,39795,7542.16848,798.5514503140531,0.9989473470707071,1,0.9989473470707071,
susan,none,11008338,10984271.958,7948.032853636079,11026464,10984972.62424,7976.719829375781,0.9989188185858586,1,0.9989188185858586,
